scheme,keygen_mean_ms,keygen_sd_ms,enc_mean_ms,enc_sd_ms,dec_mean_ms,dec_sd_ms,cipher_len_mean_B,cipher_len_sd_B,shamir_split_mean_ms,shamir_recon_mean_ms
RSA-OAEP,78.0934601877816,45.046974501305186,0.09325041528791189,0.12396663477238146,2.3794286434228225,0.14218032127484337,256,0.0,0.010384994093328714,0.008198295254260302
ECIES (ECC),0.02492074714973569,0.0369957489926986,0.13898878218606114,0.10399006779481428,0.10510793266197047,0.008145301509622548,170.03,0.47444704657105835,0.010384994093328714,0.008198295254260302
